serial_number,manifest_id,scientific_name,common_name,tier,model_key,format,tradition,temperature,response_idx,pool,image_path
S0100,iNat_Panthera_tigris_tigris_01,Panthera tigris tigris,Bengal tiger,1,qwen25vl,factual,,0.3,2,forced_evasion,data\iNaturalist\downloaded\tier1_iconic_common\Panthera_tigris_tigris\Panthera_tigris_tigris_01.jpg
S0101,iNat_Patagioenas_squamosa_04,Patagioenas squamosa,Scaly-naped pigeon,2,qwen3vl8b,factual,,0.7,2,forced_ehr_high,data\iNaturalist\downloaded\tier2_regionally_known\Patagioenas_squamosa\Patagioenas_squamosa_04.jpg
S0102,iNat_Panthera_pardus_orientalis_00,Panthera pardus orientalis,Amur leopard,3,qwen25vl,conservation,,0.7,0,stratified_random,data\iNaturalist\downloaded\tier3_rare_endangered\Panthera_pardus_orientalis\Panthera_pardus_orientalis_00.jpg
S0103,GBIF_Ailurus_fulgens_01,Ailurus fulgens,Red panda,2,gemma3,factual,,0.3,2,forced_evasion,data\GBIF\downloaded\tier2_regionally_known\Ailurus_fulgens\Ailurus_fulgens_01.jpg
S0104,iNat_Dermochelys_coriacea_04,Dermochelys coriacea,Leatherback sea turtle,3,llava_interleave,childrens,,0.3,0,forced_shr1,data\iNaturalist\downloaded\tier3_rare_endangered\Dermochelys_coriacea\Dermochelys_coriacea_04.jpg
S0105,GBIF_Equus_quagga_01,Equus quagga,Plains zebra,1,qwen2vl2b,childrens,,0.7,0,forced_ehr0,data\GBIF\downloaded\tier1_iconic_common\Equus_quagga\Equus_quagga_01.jpg
S0106,iNat_Ursus_americanus_02,Ursus americanus,American black bear,4,llava_interleave,mythological,West African (Yoruba),0.3,0,forced_shr1,data\iNaturalist\downloaded\tier4_visually_confusable\Ursus_americanus\Ursus_americanus_02.jpg
S0107,GBIF_Ambystoma_mexicanum_01,Ambystoma mexicanum,Axolotl,2,ayavision,childrens,,0.3,1,stratified_random,data\GBIF\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_01.jpg
S0108,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,llava_interleave,factual,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier4_visually_confusable\Acinonyx_jubatus\Acinonyx_jubatus_02.jpg
S0109,iNat_Panthera_onca_02,Panthera onca,Jaguar,1,idefics3,childrens,,0.7,2,forced_shr1,data\iNaturalist\downloaded\tier1_iconic_common\Panthera_onca\Panthera_onca_02.jpg
S0110,GBIF_Panthera_onca_02,Panthera onca,Jaguar,1,qwen2vl2b,factual,,0.3,0,forced_ehr0,data\GBIF\downloaded\tier1_iconic_common\Panthera_onca\Panthera_onca_02.jpg
S0111,iNat_Loxodonta_africana_04,Loxodonta africana,African elephant,4,qwen3vl8b,mythological,Celtic,0.7,1,forced_ehr0,data\iNaturalist\downloaded\tier4_visually_confusable\Loxodonta_africana\Loxodonta_africana_04.jpg
S0112,GBIF_Alligator_mississippiensis_02,Alligator mississippiensis,American alligator,4,gemma3,mythological,Celtic,0.7,0,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Alligator_mississippiensis\Alligator_mississippiensis_02.jpg
S0113,iNat_Equus_quagga_02,Equus quagga,Plains zebra,1,qwen3vl8b,childrens,,0.3,1,forced_ehr0,data\iNaturalist\downloaded\tier1_iconic_common\Equus_quagga\Equus_quagga_02.jpg
S0114,GBIF_Ursus_americanus_01,Ursus americanus,American black bear,4,qwen2vl2b,factual,,0.7,0,forced_evasion,data\GBIF\downloaded\tier4_visually_confusable\Ursus_americanus\Ursus_americanus_01.jpg
S0115,iNat_Diceros_bicornis_04,Diceros bicornis,Black rhino,3,llava16,conservation,,0.7,1,forced_evasion,data\iNaturalist\downloaded\tier3_rare_endangered\Diceros_bicornis\Diceros_bicornis_04.jpg
S0116,GBIF_Ambystoma_mexicanum_01,Ambystoma mexicanum,Axolotl,2,llava16,childrens,,0.3,1,forced_shr1,data\GBIF\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_01.jpg
